INPUT_TABLE
Variable ID
Indiaplantelec_logit

region,supplysector,subsector0,subsector1,subsector,logit.year.fillout,logit.exponent,logit.type
India,electricity,MahanadiR,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,GodavariR,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,GodavariR,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,GodavariR,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,GodavariR,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstNE,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,IndCstNE,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,IndCstNE,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,IndCstNE,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstW,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,IndCstW,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,IndCstW,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,IndCstW,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,KrishnaR,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,KrishnaR,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,KrishnaR,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,KrishnaR,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstE,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,IndCstE,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,IndCstE,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,IndCstE,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,PennarR,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,PennarR,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,PennarR,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,PennarR,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
India,electricity,CauveryR,biomass,biomass (conv),1975,-10,relative.cost.logit
India,electricity,CauveryR,biomass,biomass (IGCC),1975,-10,relative.cost.logit
India,electricity,CauveryR,biomass,biomass (conv CCS),1975,-10,relative.cost.logit
India,electricity,CauveryR,biomass,biomass (IGCC CCS),1975,-10,relative.cost.logit
